date,away,away_fgm,away_fga,away_tpm,away_tpa,away_ftm,away_fta,away_oreb,away_dreb,away_assists,away_steals,away_blocks,away_turnovers,away_fouls,away_points,home,home_fgm,home_fga,home_tpm,home_tpa,home_ftm,home_fta,home_oreb,home_dreb,home_assists,home_steals,home_blocks,home_turnovers,home_fouls,home_points
2018-10-16 00:00:00,phi,34,87,5,26,14,23,6,41,18,8,5,16,20,87,bos,42,97,11,37,10,14,12,43,21,7,5,14,20,105
2018-10-16 00:00:00,okc,33,91,10,37,24,37,16,29,21,12,6,14,21,100,gsw,42,95,7,26,17,18,17,41,28,7,7,21,29,108
2018-10-17 00:00:00,mil,42,85,14,34,15,20,11,46,26,5,4,21,25,113,cho,41,92,16,38,14,22,9,32,21,8,9,11,19,112
2018-10-17 00:00:00,brk,40,82,5,27,15,22,5,34,28,9,5,17,23,100,det,39,92,6,24,19,22,14,32,21,5,5,14,20,103
2018-10-17 00:00:00,nop,52,98,10,25,17,22,14,40,36,8,3,12,25,131,hou,39,92,16,48,18,24,8,29,21,8,7,11,22,112
2018-10-17 00:00:00,mem,25,84,10,29,23,28,7,21,16,11,3,7,18,83,ind,47,83,10,26,7,13,13,44,29,2,7,20,24,111
2018-10-17 00:00:00,den,33,87,8,24,33,42,14,42,20,6,9,10,22,107,lac,35,88,8,28,20,24,9,38,21,3,9,12,32,98
2018-10-17 00:00:00,atl,41,90,10,36,15,18,7,38,19,7,3,24,30,107,nyk,45,99,12,33,24,31,10,36,21,12,6,15,23,126
2018-10-17 00:00:00,mia,38,97,9,33,16,22,14,38,16,4,5,16,28,101,orl,39,94,7,25,19,31,14,37,20,7,7,12,25,104
2018-10-17 00:00:00,dal,38,88,10,33,14,20,10,28,28,7,5,9,16,100,pho,44,81,19,34,14,16,6,38,35,5,2,11,22,121
2018-10-17 00:00:00,uta,41,79,13,27,28,38,5,39,21,8,4,17,19,123,sac,49,95,7,19,12,18,5,32,17,8,3,9,27,117
2018-10-17 00:00:00,min,39,91,6,19,24,27,14,32,20,9,2,11,27,108,sas,40,93,11,25,21,29,19,33,22,3,4,12,22,112
2018-10-17 00:00:00,cle,34,85,7,19,29,39,14,35,17,4,0,16,25,104,tor,45,92,14,33,12,20,8,35,21,6,7,9,29,116
2018-10-18 00:00:00,chi,44,101,11,33,9,12,5,34,28,4,6,12,23,108,phi,44,93,12,36,27,30,11,44,30,10,8,13,17,127
2018-10-18 00:00:00,lal,45,93,7,30,22,29,8,38,23,10,6,15,26,119,por,44,100,13,37,27,29,14,40,21,9,10,16,26,128
2018-10-18 00:00:00,mia,38,97,12,35,25,34,22,33,25,6,5,16,26,113,was,38,81,7,26,29,39,7,33,19,7,15,14,31,112
2018-10-19 00:00:00,nyk,39,97,9,28,18,20,12,24,14,10,1,3,19,105,brk,37,75,12,30,21,24,12,43,22,2,6,22,23,107
2018-10-19 00:00:00,okc,34,95,7,33,17,23,15,37,18,5,4,12,29,92,lac,35,81,11,26,27,36,10,38,21,3,3,14,24,108
